album,artist,country,label,year,date_year
Abc,Jan Pravda,Germany,Psychoakustik,2007,2007-01-01
Remasters & Remakes,Sistol,United States of America,Halo Cyan Records,2010,2010-01-01
Rilis RMXS Vol. 6,Rino Cerrone,Italy,Rilis,2010,2010-01-01
Realtime Records,Mr. Dupont,Germany,Mrd Rec,2008,2008-01-01
Fabric 75,Maya Jane Coles,United Kingdom,Fabric (2),2014,2014-01-01
Analog 23,Brixton,United States of America,Analog Records USA,1996,1996-01-01
Desperate Druglife EP,Kriminal (2),Argentina,Miniatura Records,2009,2009-01-01
Program,JPLS,Canada,M_nus,2006,2006-01-01
Creeps EP,Ambivalent,Canada,M_nus,2009,2009-01-01
SONICULTURE 001,Kalkito,Portugal,SONICULTURE,2005,2005-01-01
I Like Acid,Benny Rodrigues,Israel,Be As One Imprint,2011,2011-01-01
Azul Klein,Tadeo,Spain,Cmyk Musik,2009,2009-01-01
High School Orchestra,Access Denied (3),Germany,KDB Records,2008,2008-01-01
2nd Next,Desonanz,Germany,Nachtstrom Schallplatten,2011,2011-01-01
Untitled,Jeff Mills,United States of America,Something In The Sky,2009,2009-01-01
Bits To Phono,Various,Germany,Mo's Ferry Prod.,2006,2006-01-01
Tools Vol. 1,East End Dubs,United Kingdom,East End Dubs Vinyl,2013,2013-01-01
Muscimol,Björn Scheurmann,Germany,Paso Music,2008,2008-01-01
Afrikanische Völker EP,*,Poland,Not On Label (Mirt self-released),2014,2014-01-01
Lost Massage,Raymundo Mendoza,United States of America,Unfoundsound,2015,2015-01-01
Tony Der Schieber,Reboot,Germany,Combi Int.,2007,2007-01-01
Karmarouge Noir Three,Franklin De Costa,Germany,Karmarouge Noir,2006,2006-01-01
Softcurls Activator EP,*,Germany,International Deejay Gigolo Records,2006,2006-01-01
Puck / Io,*,Germany,Herzblut Recordings,2007,2007-01-01
Bar Loca EP,GummiHz,Germany,Mobilee,2007,2007-01-01
Star Chronicles - Orion EP,Jeff Mills,United States of America,Tomorrow,2011,2011-01-01
Windrose,Funkwerkstatt,Spain,Cassagrande,2007,2007-01-01
Operation EP,Cio,Spain,Boozo Music,1998,1998-01-01
Skyways,Stephen Brown,United Kingdom,Scandinavia,1996,1996-01-01
Vakio,*,United Kingdom,Blast First,1995,1995-01-01
The Source EP,Dan Berkson,United Kingdom,Simple Records,2008,2008-01-01
Bask,Sarah Marrs,Germany,Neue Berliner Initiative,1999,1999-01-01
Edit Select 01,Edit Select,United Kingdom,Edit Select Records,2007,2007-01-01
Time Tunnel,Axel Bartsch & Asem Shama,United Kingdom,Ghostline Electronics,2001,2001-01-01
I Love Mary Chain,Garbo (4),Spain,Mylittledog,2008,2008-01-01
Arizona Creeping,Canary Fontaine,United Kingdom,MEAN,2009,2009-01-01
Chronicle Of The Urban Dwellers,ADJD,Germany,Harthouse Mannheim,2007,2007-01-01
Karmarouge Noir Five,Salmon,Germany,Karmarouge Noir,2006,2006-01-01
Rumbarumbarumba,*,Germany,Nummer-Schallplatten,2004,2004-01-01
Marriage Of Convenience EP,Pendle Coven,United Kingdom,Modern Love,2005,2005-01-01
Psychotronischer Irrenanstalt Ep ,Zeit Echo,Italy,IL SILENZIO DEL RUMORE,2016,2016-01-01
Harz,Sensorama,Germany,Ladomat 2000,1995,1995-01-01
Loose Changes EP,Mike Wall,United Kingdom,Metroline Limited,2008,2008-01-01
Tukea,Uteka,United States of America,Contemporary Vision,2012,2012-01-01
Keep Your Crossover,Dual Race,United Kingdom,Syncopate,1997,1997-01-01
Fabric 47,Jay Haze,United Kingdom,Fabric (2),2009,2009-01-01
Indoctrination,Adaptive,Germany,Zerinnerung,2006,2006-01-01
Collaborations & Remixes Volume 1,Access 58,United Kingdom,Access 58,2002,2002-01-01
Water In Mexico EP,Someone Else (2),Germany,Glückskind Schallplatten,2006,2006-01-01
To Beach Or Not To Beach,Copacabannark,Germany,Perlon,2004,2004-01-01
Phutro,Ozka,Belgium,Aesthetik Records,2006,2006-01-01
"Venus, Deliciously Eaten By A Cat",Akiko Kiyama,United States of America,Thema,2007,2007-01-01
Vidrios Rotos,Fran Matjor,United States of America,Thema,2007,2007-01-01
Revitalized EP,Darius Kohanim,United States of America,Hunya Munya Records,2006,2006-01-01
Patterns And Signals,Portable,United States of America,context,2001,2001-01-01
The Golden Ravedays 6,Superpitcher,Germany,Hippie Dance,2017,2017-01-01
Traffic III (Part 3 Of 4),Dazko,Germany,Combination Records,2006,2006-01-01
It's A Crackhaus Thing,Stephen Beaupré,Germany,Onitor,2003,2003-01-01
Slim / Chromamoan,Perc,United Kingdom,Perc Trax,2010,2010-01-01
Automate EP,Knobs,Germany,Clonk Records Digital,2010,2010-01-01
Panic Rooms EP,Alex Rai,Italy,Transalp,2009,2009-01-01
Lek EP,Umek,Sweden,Planet Rhythm Records,1997,1997-01-01
Neural Warriors Code-00.0,Mike Holiday,United States of America,Cannibal,2006,2006-01-01
Twisted Lip,Pig & Dan,United Kingdom,Hedgehog,2008,2008-01-01
Stratocumulus,Kaiser Souzai,Germany,Yellow Tail,2008,2008-01-01
Stereos And Such / I Am / Mushroom Man,Butch,Germany,AFUXTRA,2009,2009-01-01
Barracuda EP,Vector,Sweden,Planet Rhythm Records,1995,1995-01-01
The Ambient Cod,AJ Sound,United Kingdom,Decay Records,1996,1996-01-01
1UP EP,Massi DL,France,Frankie Rec,2007,2007-01-01
Doozer EP,Donk Boys,France,Frankie Rec,2008,2008-01-01
Second Hand Feet EP,D'Julz,United States of America,Ovum Recordings,2010,2010-01-01
Sleeper Wakes,Jeff Mills,Japan,Third Ear (2),2009,2009-01-01
Mobilee Back To Back Remix Series Vol 03,Sebo K,Germany,Mobilee,2006,2006-01-01
Mobilee Back To Back Remix Series Vol 04,Exercise One,Germany,Mobilee,2006,2006-01-01
Pulse Your Hands,*,Germany,Kling Klong,2007,2007-01-01
Missp,Phil Kieran,Germany,Cocoon Recordings,2008,2008-01-01
Delusions Of Grandeur,Pilocka Krach,Germany,Save To Disc Recordings,2009,2009-01-01
Russian Roulette EP,Gustavo Tomasi,United Kingdom,2MR2 Records,2011,2011-01-01
How To Play Phantomly,Iñaqui Marín,Spain,Galaktika Records,2006,2006-01-01
Blues Dances,Beatrice Dillon,United Kingdom,Where To Now?,2014,2014-01-01
Neck's Track,Rubberneck,Germany,Jakpot,1995,1995-01-01
Body Music EP,Powell (9),United Kingdom,Diagonal,2012,2012-01-01
Traumjob Frührentner Remixe,James Din A4,Germany,Esel,2002,2002-01-01
Prelude To Foundation,The Model,United Kingdom,Underl_ne,2006,2006-01-01
Raum...Musik Präsentiert #3,Various,Germany,Raum...musik,2000,2000-01-01
Untitled,*,United States of America,Docile Recordings,2011,2011-01-01
Sanguine,Makaton,United Kingdom,Rodz-Konez,2001,2001-01-01
Humla,*,Germany,Onitor,2005,2005-01-01
Excursion,SYD,Germany,Acid Fuckers Unite (A.F.U.),1997,1997-01-01
From Coast To Coast EP,Niels Jensen,Switzerland,Axodya,1998,1998-01-01
Camacho EP,Alejandro Vivanco,Spain,Wrong State Recordings,2014,2014-01-01
Utopía Remixes,Murcof,United Kingdom,Leaf,2004,2004-01-01
Festimask EP,Ko-Ta,Japan,Stratosphere Records,2001,2001-01-01
Eurasia,Gui Boratto,Germany,Systematic (3),2007,2007-01-01
El Condor EP,Pele (5),United Kingdom,Supernature,2009,2009-01-01
JS-04,*,United Kingdom,JS,2010,2010-01-01
Da Minimal Funk 2,Steve Bug,Germany,Raw Elements,1998,1998-01-01
006,*,Greece,Material Limited,2010,2010-01-01
Last Night In My Body,Tom Dazing,Belgium,MB Selektions,2006,2006-01-01
Big Daddy @ The Drags,Steve Stoll,United States of America,Proper N.Y.C.,2005,2005-01-01
Focus On Argy,Argy,Germany,Poker Flat Recordings,2008,2008-01-01
Heimelektro Ulm Popular Serie - Teil 1,Various,Germany,Heimelektro Ulm,2000,2000-01-01
Eat It While It's Cold,Rank,Belgium,Minimalistix,1998,1998-01-01
Schlusslicht,M.I.A.,Germany,Sub Static,2001,2001-01-01
As Long As The Moment Remixed EP 3,Chris Fortier,Australia,EQ [Grey],2008,2008-01-01
Monotónu,Murcof,United States of America,context,2002,2002-01-01
Sessions EP,Pfirter,Germany,CLR (2),2012,2012-01-01
Object Is A Navigator,Luke Abbott,United Kingdom,Notown (2),2012,2012-01-01
Osmosis,Yaroslav Lenzyak,Ukraine,Sakadat Records,2015,2015-01-01
"<a href=""/master/239037-Barock/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",France,InFiné,2010,2010-01-01
Verde Acido,Jonas Kopp,Spain,Cmyk Musik,2009,2009-01-01
YamYam09,Yam Yam (3),Germany,YamYam,2009,2009-01-01
Maks Is Dreaming,SCSI-9,Germany,Salo,1999,1999-01-01
Min76,DiF,Spain,Raised Music,2008,2008-01-01
The New Beginning,*,Sweden,DK Records,2004,2004-01-01
Raw Dog,Steve Porter,United Kingdom,Almost Anonymous,2007,2007-01-01
Ash,Hidenobu Ito,Argentina,Plexo Solar Records,2008,2008-01-01
Model Segmental,Ferze,Russia,Simphonic Silence Inside,2010,2010-01-01
"<a class=""needs_changes"" href=""/master/713481-We-Got-Time/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Raum...musik,2008,2008-01-01
Yoni Warship,Fred Giannelli,United States of America,Tektite Recordings,2000,2000-01-01
Perlmutt,Dominik Eulberg,Germany,Traum Schallplatten,2009,2009-01-01
Various Artists Compilation Part 1,Various,Germany,Religio Audio,2007,2007-01-01
The Art Of M. Rmx,Matt Star,Germany,Weave Music,2007,2007-01-01
Tag Und Nacht Denk Ich Nur An Dich Remixed,Attila Jahanvash,Germany,Z - Schallplatten,2005,2005-01-01
Intuition,Allergy,United Kingdom,Soma Quality Recordings,1997,1997-01-01
DWA,DWA,Poland,Recognition,2005,2005-01-01
CD One,Various,Germany,Ongaku Musik,1997,1997-01-01
"<a class=""needs_changes"" href=""/master/457353-Marimba/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",United States of America,Tekx Records,2011,2011-01-01
One Is Not Enough,And.Id,Germany,Mobilee,2008,2008-01-01
The Grandfather Paradox,Dixon,United Kingdom,BBE,2009,2009-01-01
Death Thrills,Clemens Neufeld,United Kingdom,Missile Records,1997,1997-01-01
Deep Experiments,Lol,France,Algorithme,1997,1997-01-01
Bon Appetit,Dachshund,Germany,Harthouse Mannheim,2008,2008-01-01
It's Full Of Blinding Light,Audion,United States of America,Spectral Sound,2009,2009-01-01
Stelle,Funzion,United States of America,alphahouse,2007,2007-01-01
Unoiki Calendar 2010,Various,Germany,Unoiki,2010,2010-01-01
Communication Defines Culture,Various,United States of America,Conversation Records,2006,2006-01-01
People Mover,Various,United States of America,People Mover Productions,2005,2005-01-01
Espoo,Vladislav Delay,Germany,Raster-Noton,2012,2012-01-01
Zero Sum,Indepth,Sweden,Spiral Trax,2009,2009-01-01
I Can Tell You Of Course I Know It Was,Fumiya Tanaka,Germany,Perlon,2012,2012-01-01
Phuturehaus EP,Denard Henry,United States of America,Intrinsic Design,1997,1997-01-01
Work,Unit Moebius,Belgium,KK Records,1997,1997-01-01
Turboencabulator,*,Germany,Trapez,2009,2009-01-01
Earth Rmxs,Butch,Germany,Trapez Ltd,2008,2008-01-01
Morphogenesis / Abducted,Mikael Jonasson,Germany,Figure,2011,2011-01-01
Under A Spell,Jules-de-Pearl,Germany,My Best Friend,2010,2010-01-01
Zwei Maenner Im Split,Metaboman,Germany,Musik Krause,2002,2002-01-01
Too Slow,Sarah Goldfarb,Germany,200,2009,2009-01-01
The Yard EP,Christian Burkhardt,Germany,Raum...musik,2007,2007-01-01
Muzik Make You Lose Control,*,United States of America,Sounds.,1996,1996-01-01
Bohnenherbert EP,Demas,Germany,Klangscheiben,2009,2009-01-01
Chastity,Danilo Vigorito,Italy,Intelligence,2007,2007-01-01
Hip Date,Tomas Andersson,Germany,BPitch Control,2005,2005-01-01
2,Various,Spain,Net28,2009,2009-01-01
Remixes Part 2,Starbug (2),Germany,Starbugs Recordings,2009,2009-01-01
"Stitch, Poke (Remix)",Jiri.Ceiver,Germany,Harthouse,1997,1997-01-01
"<a href=""/master/165209-Body-Language-Vol-7/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Get Physical Music,2008,2008-01-01
Untitled,Kim Rapatti,Finland,Dum Records,1998,1998-01-01
See What Happens EP,Roberto Clementi,United States of America,Unfoundsound,2009,2009-01-01
Chronicles,Fabrizio Maurizi,Canada,M_nus,2010,2010-01-01
Delay 05,Sutekh,United States of America,Delay,2000,2000-01-01
Desde Lo Profundo,Jorge Savoretti,Spain,Esperanza,2008,2008-01-01
"<a class=""needs_changes"" href=""/master/215262-Bicycles-Are-Your-Friends/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",United States of America,Peloton Musique,2008,2008-01-01
Die Alte Leier,T.Raumschmiere,Germany,Shitkatapult,2006,2006-01-01
Girlfriend,Jabberjaw,Germany,Perlon,2003,2003-01-01
Wash & Go EP,Mike L,Germany,Aural Satisfaction,1997,1997-01-01
Cannibale,Anthony Collins,Germany,Highgrade Records,2007,2007-01-01
Disquos / HNO,*,Greece,Dieb Audio,2009,2009-01-01
Betroit,Pierre Deutschmann,Germany,Blu Fin,2013,2013-01-01
Temp,Marcos Cabral,Germany,Trapez Ltd,2004,2004-01-01
Zirkeltraining EP,Trainer (2),Germany,Pristine Music,2007,2007-01-01
Action Painting,Touane,Germany,Trenton Records,2007,2007-01-01
Who Got The Beats?,Matthias Tanzmann,Germany,Giant Wheel,2005,2005-01-01
The People,*,Germany,Alpaca,2008,2008-01-01
The Boats Archive,The Boats,United Kingdom,The Boats Archive,2017,2017-01-01
Ηχοδρόμιο,Τετράγωνο 19,Greece,FM Records,1995,1995-01-01
Salty Tears,Ameaba,Germany,Neutonmusic,2005,2005-01-01
Mankind 4,Johan Bacto,Sweden,Mankind,1999,1999-01-01
Useless Junk EP,Sven Laux,United Kingdom,Multi Vitamins,2008,2008-01-01
One,Ben Klock,Germany,Ostgut Ton,2009,2009-01-01
Nymphotech Vol 1,Huge Hephner,United States of America,Siteholder Records,2008,2008-01-01
Nymphotech Vol 2,Huge Hephner,United States of America,Siteholder Records,2008,2008-01-01
Ludique,Ludique,Netherlands,Not On Label (Ludique Self-released),2011,2011-01-01
Vantaa,Vladislav Delay,Germany,Raster-Noton,2011,2011-01-01
The Lab 03,Seth Troxler,United Kingdom,NRK Sound Division,2011,2011-01-01
Blackstage,John Thomas,France,Logistic Records,2001,2001-01-01
Progressa,Progressa,Germany,Progressa,1998,1998-01-01
Silberland,Progressa,Germany,Progressa,2000,2000-01-01
Migratory Insertion,Stefny,Canada,Archipel,2008,2008-01-01
The Early Tracks,STL,Germany,Perlon,2006,2006-01-01
Nachschub,*,Germany,Auftrieb,1997,1997-01-01
Etui Winter Camp,Various,Germany,Etui Records,2013,2013-01-01
Playmobil 5 EP,Mihalis Safras,Netherlands,Playmobil Series,2008,2008-01-01
Dakar,Emanuele Esposito,Italy,Pearl LTD,2008,2008-01-01
Shipyard,Piemont,Germany,My Best Friend,2009,2009-01-01
Woods Roads,Wang Inc.,United States of America,context,2004,2004-01-01
Cucumber / Numbgum,Lauhaus,Netherlands,Remote Area,2006,2006-01-01
Orange EP,Joseph Capriati,Italy,Loose Records,2008,2008-01-01
Static EP,Todd Sines,United States of America,Residual Recordings,2000,2000-01-01
Vacuum Direct EP,*,Japan,Housedust,1999,1999-01-01
22 - 24,Staffan Linzatti,Netherlands,Shadow Fax,2007,2007-01-01
On The Border,Holger Flinsch,Germany,Phono Elements,2002,2002-01-01
Fractals,John Tejada,United States of America,Palette Recordings,2009,2009-01-01
Squaredance,Lo-Real,Germany,Planet Source,1997,1997-01-01
Versatile Virus,Various,Germany,Fieber Records,1999,1999-01-01
Diffusor,Boris Brejcha,Germany,Harthouse Mannheim,2010,2010-01-01
Crackles,Upwellings,France,ZeECc,2010,2010-01-01
Abend:skool,*,Germany,Klang Elektronik,1998,1998-01-01
"Reworks 12""/1",Paul Kalkbrenner,Germany,BPitch Control,2006,2006-01-01
Outta EP,Queen Atom,United Kingdom,Serialism Records,2009,2009-01-01
Water Sports / Melon Ball,Din,Canada,DOVe,1993,1993-01-01
Untitled,*,United Kingdom,Pure Plastic,1995,1995-01-01
Symbiostic 005,Various,Germany,Symbiostic,2012,2012-01-01
Serpiente Cosmica,Veinte Tres,United Kingdom,REKIDS,2008,2008-01-01
"<a href=""/master/75594-Alku/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Resopal Red,2007,2007-01-01
Intensity,Exercise One,Germany,Mobilee,2008,2008-01-01
Rise,Claro Intelecto,United Kingdom,Modern Love,2008,2008-01-01
Heroin,Heroin (4),Germany,Grand Petrol Recordings,2007,2007-01-01
Prom. 46a,Erland Marckwort,Sweden,ChicSounds,2006,2006-01-01
Native Sampler Two : Further Connections,Various,United Kingdom,Native,1999,1999-01-01
Underground Miami 2011,Various,United Kingdom,Ministry Of Sound,2011,2011-01-01
Mikrophon,M:I:5,Germany,Profan,1999,1999-01-01
Glücksmelodie Remix Contest EP,Gabriel Ananda,Germany,Karmarouge,2006,2006-01-01
Ahh,Thugfucker,Germany,Thugfucker Recordings,2007,2007-01-01
Choronzon,Deemonlover,United Kingdom,Bliq,2014,2014-01-01
Spawn Of Spoon EP,Name & Relucto,United Kingdom,Hum+Haw,2008,2008-01-01
Knob (Remixes),Jeff Samuel,Germany,Trapez,2003,2003-01-01
Umbau 1,Wolfgang Voigt,Germany,Protest (2),2011,2011-01-01
Palazzo Volume Six,Valentino Kanzyani,Germany,T:Classixx,2007,2007-01-01
Index,Helical Scan,Germany,Chain Reaction,1996,1996-01-01
Reduce,Vainqueur,Germany,Chain Reaction,1996,1996-01-01
Deep-X Vol.1,Various,Russia,Deep-X Recordings,2007,2007-01-01
Vol. 1,Apathism,Germany,Apathism,1995,1995-01-01
Welcome To Sunday Music,Henrik Schwarz,Germany,Sunday Music,2003,2003-01-01
Morado All Estar,Damián Schwartz,Spain,Cmyk Musik,2008,2008-01-01
Ayahuasca,Various,Germany,Eintakt,2006,2006-01-01
Braccobaldo Show,Francesco Grant,Italy,cápsula,2009,2009-01-01
Surface,Orphx,Germany,Hands Productions,2000,2000-01-01
Subtrak EP,Ryan Brogan,United States of America,SUBTRAK,2006,2006-01-01
The Gemini EP,Mathew Jonson,Canada,Itiswhatitis Recordings,2005,2005-01-01
Semaphore,Dapayk & Padberg,Germany,Mo's Ferry Prod.,2003,2003-01-01
Geistermusik,Carsten Rausch,Netherlands,Stainless Audio Works,2008,2008-01-01
Ulla / Vera,Thomas Brinkmann,Germany,Ernst,2000,2000-01-01
La Gorgona,Lineas De Nazca,Switzerland,Numbolic Unlimited,2009,2009-01-01
Imaginary Rockstar Syndrome,Ozy,Germany,Trapez,2004,2004-01-01
Donauwellen,Wessling & Schrom,Germany,Boxer Recordings,2002,2002-01-01
Container,Fenin,Germany,Shitkatapult,2001,2001-01-01
Dicken's Tracks,Och,United Kingdom,PAL SL,2010,2010-01-01
Blocage / Alerte A Rio / Sunrise,*,France,Catwash Records,2007,2007-01-01
Shaved,Ascion & D. Carbone,United Kingdom,Spectrum Recordings (2),2009,2009-01-01
Loops For Work,Koljah,Germany,Sushitech Records,2007,2007-01-01
Extratextural EP,Rusk Phiber,Australia,Undefined Recordings (Australia),1996,1996-01-01
Diamanten Und Raketen,Various,Germany,Klang Elektronik,2006,2006-01-01
Whatwhat?,David Last,United States of America,Unfoundsound,2006,2006-01-01
The Silent Morning,Silent Servant,United Kingdom,Sandwell District,2006,2006-01-01
The Reducer,San Lebowski,Germany,Nummer-Schallplatten,2006,2006-01-01
Cascade Failure,Ugra & Albrecht,Germany,i220,2006,2006-01-01
Kushti,G-Man,United Kingdom,Swim ~,1996,1996-01-01
FSOL Digital Mix,The Future Sound Of London,Greece,Freeze (Magazine),2008,2008-01-01
#4,*,Germany,Room Recordings,2007,2007-01-01
Relapse,Adam Beyer,Sweden,Truesoul,2007,2007-01-01
Fire EP,Riccardo (6),Germany,UnterNull Records,2011,2011-01-01
Voucher,Riccardo (6),Italy,Elettronica Romana,2006,2006-01-01
Chapter One: Desperado,Mentalic,Germany,Microtonal Records,2008,2008-01-01
Flickering Ray,Moonbeam,Belgium,Move Recordings,2008,2008-01-01
After The Storm,Barem,Canada,M_nus,2011,2011-01-01
Synthetic / Ferox,Morgan Tomas,United Kingdom,Sleaze Records,2010,2010-01-01
Koridium,Anthony Rother,Germany,Nextdata,2015,2015-01-01
Nearest To The Faraway EP,Lord Sheper,Germany,Monostress Blue,1997,1997-01-01
Shades,Click Box,Canada,M_nus,2009,2009-01-01
Nothing Shocking / Azimuth,Camea,United States of America,Clink Music,2006,2006-01-01
Objective,Back Pack Poets,Netherlands,Electric Deluxe,2011,2011-01-01
The Naked EP,Adam Marshall,Canada,New Kanada,2006,2006-01-01
Hearing EP,Chevel,Spain,Non Series,2012,2012-01-01
Stereotypes,Adam Beyer,Germany,Cocoon Recordings,2006,2006-01-01
"<a href=""/master/77828-InsideOut-EP/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",United States of America,Ghostly International,2005,2005-01-01
Working Title EP,Paul Mac,Switzerland,Phont Music,2002,2002-01-01
Changes EP,John Whitehorse,Russia,Deep-X Recordings,2012,2012-01-01
Death By House Remixes,Len Faki,Germany,Cocoon Recordings,2009,2009-01-01
Part Two,Lemos,Germany,Cécille Numbers,2008,2008-01-01
Quanto EP,Coya,Spain,Raised Music,2008,2008-01-01
Glyph 02,Archetype,United States of America,21/22 Corporation,2002,2002-01-01
Boxer #50.1,Various,Germany,Boxer Recordings,2007,2007-01-01
Parallel Series 1,*,United Kingdom,Mote-Evolver,2011,2011-01-01
Last Train To Bethnal Green,Trolley Route,United Kingdom,Pure Plastic,2002,2002-01-01
Smitten Dicken EP,Shadi Megallaa,Germany,Produkt Schallplatten,2007,2007-01-01
Project Boondocks,Simina Grigoriu,Netherlands,Frequenza,2011,2011-01-01
Magda Had A Little Troll Remix,Pheek,France,"Roman,Photo",2007,2007-01-01
Tre Små Spøgelseshistorier,Voks,Denmark,Edward Davenport,1996,1996-01-01
Epos,Morgenklang,Germany,F.T.W. Recordingz,2012,2012-01-01
Afterhour E.P.,Daniel Sender,Germany,F.T.W. Recordingz,2010,2010-01-01
Split Pot - Inhouse Mixes,Format: B,Germany,Opossum Recordings,2008,2008-01-01
Night Drive Music Vol. 1,Various,Germany,Night Drive Music,2008,2008-01-01
Salvador,Ricardo Villalobos,Germany,Frisbee Tracks,2006,2006-01-01
With Compliments,Benjamin Wild,Germany,Force Tracks,2002,2002-01-01
Kick Dirt EP,Robert Hood,United States of America,M-Plant,2002,2002-01-01
Endz006,East End Dubs,United Kingdom,Eastenderz,2016,2016-01-01
Trapezones Erectos & Extrapezlo Remixes,Alex Under,Germany,Trapez,2008,2008-01-01
Escape From Venice,*,Austria,Central,1995,1995-01-01
Nightshift EP,Jana Clemen,Switzerland,Phont Music,1998,1998-01-01
Silbersee,The Glitz,Germany,Pocketgame,2009,2009-01-01
Underwater,Paper,Spain,Galaktika Records,2006,2006-01-01
Time For Grace,District One,Netherlands,100% Pure,2008,2008-01-01
Magna Star,Blagger,Denmark,Tic Tac Toe Records,2008,2008-01-01
Sleepless In Berlin,Nico Grubert,Germany,Skript,2008,2008-01-01
Marlosemix 96581,Marlose,Germany,Ostwind Records,2009,2009-01-01
A New Day,Beroshima,Germany,Müller Records,2011,2011-01-01
Club Mio,Daniele Papini,Germany,Sleep Is Commercial,2010,2010-01-01
Dot The I,Marcelino Sanchez,Greece,In Fact Recordings,2005,2005-01-01
Harry Loves You EP,*,Germany,Smallroom Music,2010,2010-01-01
Corridors Of Life EP,Subb-an,United States of America,Immigrant,2008,2008-01-01
"<a class=""needs_changes"" href=""/master/253858-Piston-Roundup-Volume-2/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Portugal,Piston Recordings,2008,2008-01-01
Wraith vs. Kataconda,Wraith,United States of America,Acid Sonic Research,2002,2002-01-01
36 Inch EP,Reboot,Germany,Below,2007,2007-01-01
Ear To Mouth,Hennon,Germany,Herzblut Recordings,2009,2009-01-01
Flederlaus EP,Stefan Tretau,Germany,Heimatmelodie,2008,2008-01-01
Futuristic Experiments Chapter III,Various,Germany,Background,2000,2000-01-01
Hunter,Borneo & Sporenburg,Germany,Italic,2000,2000-01-01
Juna,Freestyle Man,Germany,Dirt Crew Recordings,2005,2005-01-01
The Siren,Vinny Vincent & Harry Hash,Netherlands,X-Trax,1995,1995-01-01
Confused,Simon Baker,United Kingdom,Infant Records,2007,2007-01-01
Nervmusic - Andrey Kurpatov Mix,Guttersnipe (2),Russia,Algorythmik Records,2007,2007-01-01
Dold E.P.,Smyglyssna,United States of America,Plug Research,1997,1997-01-01
The Bell,Magmatic,Germany,Hell Yeah Recordings,2007,2007-01-01
Freek,Lester Fitzpatrick,United Kingdom,Primal Force,2006,2006-01-01
Third Wish,Boardinghouse,United States of America,Not On Label (Boardinghouse Self-released),2016,2016-01-01
Is Not,Thomas Schumacher,Germany,Spiel-Zeug Schallplatten,2006,2006-01-01
Upsets Ducks,Basteroid,Germany,Areal Records,2007,2007-01-01
Reserved,Skate,Italy,Frequenza Digital,2009,2009-01-01
Merry Go Round,Cari Lekebusch,Germany,Harthouse Mannheim,2010,2010-01-01
Billie's Mascotte,Paul Cart,Spain,Suara,2009,2009-01-01
7 Colors,*,Japan,Colorve,2004,2004-01-01
Yvette / Zora,Thomas Brinkmann,Germany,Ernst,2000,2000-01-01
Starry Nights,Various,Denmark,Funque Droppings,2001,2001-01-01
Forge EP,Truss,United States of America,Miniscule,2007,2007-01-01
We Want It Bad,The Hollow (2),Sweden,Stockholm LTD,2007,2007-01-01
Sound Around EP,A7 (2),Germany,Kreislauf,2008,2008-01-01
26 & Extrem,Vai (2),Germany,Kreislauf,2008,2008-01-01
Caracas Soul EP,Kadebostan,Germany,Freude Am Tanzen,2007,2007-01-01
Ear Worm EP,Heinrichs & Hirtenfellner,Germany,KarateKlub,2007,2007-01-01
Rekorder 06,Rekorder,Germany,Rekorder,2006,2006-01-01
Red City EP,Theodor Zox,Denmark,Tic Tac Toe Records,2005,2005-01-01
Torus,Metalogic,Germany,Nachtstrom Schallplatten,2010,2010-01-01
Xevious,Junoman,Germany,Aural Satisfaction,1998,1998-01-01
"<a class=""needs_changes"" href=""/master/655028-Cocoon-100/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Cocoon Recordings,2013,2013-01-01
La Valle Di Ketama,*,Netherlands,Syndikaat Records,2008,2008-01-01
Pimp Slappin`,Huge Hephner,United States of America,Siteholder Records,2008,2008-01-01
Busted,Thomas Schaeben,Germany,Musique Unique,2011,2011-01-01
What We Did & What We Do - Best Of Three Years Stil Vor Talent,Florian Meindl,Germany,Stil Vor Talent,2008,2008-01-01
Tionification,Fusiphorm,Germany,Plong!,2006,2006-01-01
Schieber.02,Bill Bolls,Germany,Schieber,2006,2006-01-01
Extruder (Maetrik Remix),Theodor Zox,Denmark,Tic Tac Toe Records,2006,2006-01-01
Chlam,Dave Shokh,Germany,Rompecabeza,2008,2008-01-01
Lux,Alex Smoke,United Kingdom,Hum+Haw,2010,2010-01-01
Variance (Function Edit),N/A (4),United Kingdom,Sandwell District,2009,2009-01-01
aMorf EP,*,Russia,Deep-X Recordings,2012,2012-01-01
Upartig,Planet E Squad,Germany,Global AMBition,1996,1996-01-01
Afterhüttn,Alessandro Crimi,Germany,Broque,2006,2006-01-01
